place_cat,place_name,place_address,place_lat,place_lon,place_detailsjson,place_src,place_srcassetid
food_venue,+39 Pizzeria & Antipasteria,Ground 362 Little Bourke Street MELBOURNE VIC 3000,-37.81327298,144.961749522,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":66},""total_seats"":66}",City of Melbourne,com:food:105873:d8b2037003e7b44f
food_venue,10 Hoff Cafe,"Shop 3, 10 Hoff Boulevard SOUTHBANK VIC 3006",-37.82580013,144.963565642,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":10,""Seats - Indoor"":30},""total_seats"":40}",City of Melbourne,com:food:706735:09ea830d95151679
food_venue,11 Inch Pizza,"Shop 6B, 353 Little Collins Street MELBOURNE VIC 3000",-37.81570426,144.962984348,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":22,""Seats - Outdoor"":12},""total_seats"":34}",City of Melbourne,com:food:110669:2c9ab5e47bc376e1
food_venue,167 Hotel Melbourne,167-169 City Road SOUTHBANK VIC 3006,-37.82439921,144.96250288,"{""census_year"":2024,""industry_code"":""4400"",""industry_description"":""Accommodation"",""seats"":{""Seats - Indoor"":68},""total_seats"":68}",City of Melbourne,com:food:110367:f44f6393357c866d
food_venue,18 Pence Lane,82 River Esplanade DOCKLANDS VIC 3008,-37.82470448,144.944965024,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":50,""Seats - Indoor"":32},""total_seats"":82}",City of Melbourne,com:food:577280:7bd8f5257788e906
food_venue,215 Queens,215 Queen Street MELBOURNE VIC 3000,-37.81379647,144.959874118,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":84,""Seats - Outdoor"":10},""total_seats"":94}",City of Melbourne,com:food:108077:155f8b3897f08e4d
food_venue,226 Sushi,Part 226 Pelham Street MELBOURNE VIC 3000,-37.801684,144.958242968,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Outdoor"":6},""total_seats"":6}",City of Melbourne,com:food:107547:9a7eb27472a599ee
food_venue,24 Atoms,"Unit 4, 1 Phillip Court PORT MELBOURNE VIC 3207",-37.82600955,144.920988022,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":34,""Seats - Outdoor"":40},""total_seats"":74}",City of Melbourne,com:food:602733:ae49442df32eff31
food_venue,279,279 Victoria Street WEST MELBOURNE VIC 3003,-37.80566937,144.951970327,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":25,""Seats - Outdoor"":6},""total_seats"":31}",City of Melbourne,com:food:109699:b71eda4799b4d868
food_venue,3 Brothersss,513 Elizabeth Street MELBOURNE VIC 3000,-37.80765748,144.957205484,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":36},""total_seats"":36}",City of Melbourne,com:food:110690:b77252ed692d77e1
food_venue,8 Miles Cafe,6-12 Miles Street SOUTHBANK VIC 3006,-37.82843322,144.967969426,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":6,""Seats - Indoor"":30},""total_seats"":36}",City of Melbourne,com:food:111297:67eb1d0ae2ec8d74
food_venue,8848 Momo House,Ground 189-191 Bourke Street MELBOURNE VIC 3000,-37.81316936,144.96776365,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":45},""total_seats"":45}",City of Melbourne,com:food:101129:95f59170e0e8882f
