refuge_id,refuge_cat,refuge_name,refuge_lat,refuge_lon,refuge_tier,refuge_area,refuge_geometryJson,refuge_src,refuge_srcAssetId
1,drinking_fountain,Drinking Fountain — Royal Park,-37.7784542,144.9560351,3,,,City of Melbourne,com:fountain/1075217
2,drinking_fountain,Drinking Fountain — Princes Park,-37.7860672,144.96307,3,,,City of Melbourne,com:fountain/1075226
3,drinking_fountain,Drinking Fountain — Bourke Street between Swanston Street and Elizabeth Street,-37.8138922,144.9641121,3,,,City of Melbourne,com:fountain/1075228
4,drinking_fountain,Drinking Fountain — Bourke Street between Swanston Street and Elizabeth Street,-37.8138656,144.9647509,3,,,City of Melbourne,com:fountain/1075229
5,drinking_fountain,Drinking Fountain — Bourke Street between Swanston Street and Elizabeth Street,-37.813709,144.9652192,3,,,City of Melbourne,com:fountain/1075230
6,drinking_fountain,Drinking Fountain — Queensbridge Square,-37.8209919,144.9617424,3,,,City of Melbourne,com:fountain/1075231
7,drinking_fountain,Drinking Fountain — Macarthur Square,-37.7982551,144.9705661,3,,,City of Melbourne,com:fountain/1075232
8,drinking_fountain,Drinking Fountain — Yarra Park,-37.8184031,144.9788594,3,,,City of Melbourne,com:fountain/1075233
9,drinking_fountain,Drinking Fountain — Hardy Reserve,-37.7852831,144.9661888,3,,,City of Melbourne,com:fountain/1075236
10,drinking_fountain,Drinking Fountain — Errol Street between Victoria Street and Queensberry Street,-37.8033365,144.9497305,3,,,City of Melbourne,com:fountain/1075237
11,drinking_fountain,Drinking Fountain — Elizabeth Street between Therry Street and Victoria Street,-37.8066319,144.9599134,3,,,City of Melbourne,com:fountain/1075239
12,drinking_fountain,Drinking Fountain — Yarra Park,-37.816927,144.9837045,3,,,City of Melbourne,com:fountain/1075240
13,drinking_fountain,Drinking Fountain — Victoria Parade between Nicholson Street and Gisborne Street,-37.808319,144.9744524,3,,,City of Melbourne,com:fountain/1075241
14,drinking_fountain,Drinking Fountain — Rathdowne Street between Pitt Street and Kay Street,-37.7951582,144.9710381,3,,,City of Melbourne,com:fountain/1075244
15,drinking_fountain,Drinking Fountain — Northbank,-37.8193341,144.964437,3,,,City of Melbourne,com:fountain/1075247
16,drinking_fountain,Drinking Fountain — Northbank,-37.8193762,144.9642579,3,,,City of Melbourne,com:fountain/1075248
17,drinking_fountain,Drinking Fountain — Swanston Street between Little Bourke Street and Lonsdale Street,-37.81243,144.9650154,3,,,City of Melbourne,com:fountain/1075257
18,drinking_fountain,Drinking Fountain — Lygon Street between Argyle Place South and Pelham Street,-37.8033711,144.966364,3,,,City of Melbourne,com:fountain/1075267
19,drinking_fountain,Drinking Fountain — Victoria Parade between Hoddle Street and Simpson Street,-37.8101301,144.9910055,3,,,City of Melbourne,com:fountain/1075268
20,drinking_fountain,Drinking Fountain — Hoddle Street between Albert Street and Victoria Parade,-37.8109995,144.9909654,3,,,City of Melbourne,com:fountain/1075269
21,drinking_fountain,Drinking Fountain — Park Drive between Flemington Road and Story Street,-37.7973538,144.9528437,3,,,City of Melbourne,com:fountain/1075271
22,drinking_fountain,Drinking Fountain — Flinders Street between Market Street and William Street,-37.8195601,144.9606004,3,,,City of Melbourne,com:fountain/1075272
23,drinking_fountain,Drinking Fountain — Elizabeth Street between Queensberry Street and Pelham Street,-37.8020137,144.9578323,3,,,City of Melbourne,com:fountain/1075281
24,drinking_fountain,Drinking Fountain — St Kilda Road between Domain Road and Bromby Street,-37.834636,144.9748844,3,,,City of Melbourne,com:fountain/1075283
25,drinking_fountain,Drinking Fountain — Intersection of Victoria Street and Errol Street,-37.8050183,144.9491103,3,,,City of Melbourne,com:fountain/1075285
26,drinking_fountain,Drinking Fountain — Hawke Street between Ireland Street and Spencer Street,-37.8072589,144.9469642,3,,,City of Melbourne,com:fountain/1075286
27,drinking_fountain,Drinking Fountain — Victoria Street between Elizabeth Street and O'Connell Street,-37.8063368,144.9590744,3,,,City of Melbourne,com:fountain/1075290
28,drinking_fountain,Drinking Fountain — King Street between Collins Street and Little Collins Street,-37.8180379,144.9566253,3,,,City of Melbourne,com:fountain/1075292
29,drinking_fountain,Drinking Fountain — Royal Park,-37.7853324,144.9534737,3,,,City of Melbourne,com:fountain/1075294
30,drinking_fountain,Drinking Fountain — Intersection of Wellington Parade and Powlett Street,-37.8164909,144.9851575,3,,,City of Melbourne,com:fountain/1075295
31,drinking_fountain,Drinking Fountain — Franklin Street between Swanston Street and Elizabeth Street,-37.8078639,144.9610744,3,,,City of Melbourne,com:fountain/1075303
32,drinking_fountain,Drinking Fountain — Olympic Boulevard between Punt Road and Batman Avenue,-37.8233761,144.9798517,3,,,City of Melbourne,com:fountain/1075307
33,drinking_fountain,Drinking Fountain — Queen Victoria Market,-37.8062699,144.9580634,3,,,City of Melbourne,com:fountain/1075310
34,drinking_fountain,Drinking Fountain — Intersection of Collins Street and Market Street,-37.8174515,144.9601413,3,,,City of Melbourne,com:fountain/1075313
35,drinking_fountain,Drinking Fountain — Intersection of Victoria Street and Cobden Street,-37.8061169,144.9571333,3,,,City of Melbourne,com:fountain/1075314
36,drinking_fountain,Drinking Fountain — Victoria Street between Cobden Street and Peel Street,-37.806037,144.95639,3,,,City of Melbourne,com:fountain/1075315
37,drinking_fountain,Drinking Fountain — Flinders Street between Spring Street and Exhibition Street,-37.81601,144.9727025,3,,,City of Melbourne,com:fountain/1075318
38,drinking_fountain,Drinking Fountain — Lygon Street between Grattan Street and Faraday Street,-37.8005649,144.9668454,3,,,City of Melbourne,com:fountain/1075319
39,drinking_fountain,Drinking Fountain — Lygon Street between Faraday Street and Elgin Street,-37.7977518,144.9674474,3,,,City of Melbourne,com:fountain/1075320
40,drinking_fountain,Drinking Fountain — Lygon Street between Lytton Street and Princes Street,-37.7927528,144.9684434,3,,,City of Melbourne,com:fountain/1075324
41,drinking_fountain,Drinking Fountain — Collins Street between King Street and Spencer Street,-37.8190677,144.9545198,3,,,City of Melbourne,com:fountain/1075325
42,drinking_fountain,Drinking Fountain — Alexandra Avenue between Swan Street Bridge and Anderson Street,-37.828421,144.9846019,3,,,City of Melbourne,com:fountain/1075326
43,drinking_fountain,Drinking Fountain — J J Holland Park,-37.7989245,144.9259559,3,,,City of Melbourne,com:fountain/1115158
44,drinking_fountain,Drinking Fountain — J J Holland Park,-37.7981301,144.9217176,3,,,City of Melbourne,com:fountain/1115163
45,drinking_fountain,Drinking Fountain — Ievers Reserve,-37.7968673,144.9520465,3,,,City of Melbourne,com:fountain/1115164
46,drinking_fountain,Drinking Fountain — Ievers Reserve,-37.7963447,144.9529563,3,,,City of Melbourne,com:fountain/1115180
47,drinking_fountain,Drinking Fountain — Canning and Neill Street Reserve,-37.79333,144.9737416,3,,,City of Melbourne,com:fountain/1115190
48,drinking_fountain,Drinking Fountain — Fawkner Park,-37.8398991,144.9812983,3,,,City of Melbourne,com:fountain/1115200
49,drinking_fountain,Drinking Fountain — Carlton Gardens South,-37.8069632,144.9709753,3,,,City of Melbourne,com:fountain/1115204
